subject	 session	 trial	 flanked	 distortion	 freq	 amplitude	 spacing	 im_name	 targ_letter	 targ_pos	 response	 eyemovement	 RT
2	 1	 1	 flanked	 bex	 4	 1.000000	 2.000000	 flanked_bex_freq_4_amplitude_1_rep_2_r_H_2.0.png	 H	 r	 l	 n.a.	 5.455678e-01
2	 1	 2	 flanked	 bex	 4	 1.000000	 2.000000	 flanked_bex_freq_4_amplitude_1_rep_7_r_D_2.0.png	 D	 r	 b	 n.a.	 3.086529e-01
2	 1	 3	 flanked	 bex	 4	 1.000000	 2.000000	 flanked_bex_freq_4_amplitude_1_rep_5_t_K_2.0.png	 K	 t	 l	 n.a.	 4.614742e-01
2	 1	 4	 flanked	 bex	 4	 3.000000	 2.000000	 flanked_bex_freq_4_amplitude_3_rep_3_r_K_2.0.png	 K	 r	 b	 n.a.	 5.980411e-01
2	 1	 5	 flanked	 bex	 4	 3.000000	 2.000000	 flanked_bex_freq_4_amplitude_3_rep_9_b_K_2.0.png	 K	 b	 r	 n.a.	 8.604999e-01
2	 1	 6	 flanked	 bex	 4	 3.000000	 2.000000	 flanked_bex_freq_4_amplitude_3_rep_5_b_K_2.0.png	 K	 b	 t	 n.a.	 5.440807e-01
2	 1	 7	 flanked	 bex	 4	 7.000000	 2.000000	 flanked_bex_freq_4_amplitude_7_rep_3_t_N_2.0.png	 N	 t	 b	 n.a.	 1.001454e+00
2	 1	 8	 flanked	 bex	 4	 2.000000	 2.000000	 flanked_bex_freq_4_amplitude_2_rep_1_b_N_2.0.png	 N	 b	 r	 n.a.	 5.588934e-01
2	 1	 9	 flanked	 bex	 4	 4.000000	 2.000000	 flanked_bex_freq_4_amplitude_4_rep_1_t_K_2.0.png	 K	 t	 l	 n.a.	 4.301575e-01
2	 1	 10	 flanked	 bex	 4	 3.000000	 2.000000	 flanked_bex_freq_4_amplitude_3_rep_4_l_D_2.0.png	 D	 l	 t	 n.a.	 4.096252e-01
2	 1	 11	 flanked	 bex	 4	 6.000000	 2.000000	 flanked_bex_freq_4_amplitude_6_rep_0_r_N_2.0.png	 N	 r	 r	 n.a.	 3.566703e-01
2	 1	 12	 flanked	 bex	 4	 6.000000	 2.000000	 flanked_bex_freq_4_amplitude_6_rep_9_b_D_2.0.png	 D	 b	 b	 n.a.	 5.377377e-01
