subject	 session	 trial	 flanked	 distortion	 freq	 amplitude	 spacing	 im_name	 targ_letter	 targ_pos	 response	 eyemovement	 RT
5	 2	 1	 flanked	 rf	 4	 0.275000	 2.000000	 flanked_rf_freq_4_amplitude_0.275_rep_8_b_H_2.0.png	 H	 b	 r	 n.a.	 5.928414e-01
5	 2	 2	 flanked	 rf	 4	 0.200000	 2.000000	 flanked_rf_freq_4_amplitude_0.2_rep_6_b_D_2.0.png	 D	 b	 t	 n.a.	 5.276985e-01
5	 2	 3	 flanked	 rf	 4	 0.275000	 2.000000	 flanked_rf_freq_4_amplitude_0.275_rep_7_t_H_2.0.png	 H	 t	 r	 n.a.	 1.261977e+00
5	 2	 4	 flanked	 rf	 4	 0.500000	 2.000000	 flanked_rf_freq_4_amplitude_0.5_rep_9_l_K_2.0.png	 K	 l	 b	 n.a.	 7.294165e-01
5	 2	 5	 flanked	 rf	 4	 0.425000	 2.000000	 flanked_rf_freq_4_amplitude_0.425_rep_3_b_N_2.0.png	 N	 b	 r	 n.a.	 5.574958e-01
5	 2	 6	 flanked	 rf	 4	 0.050000	 2.000000	 flanked_rf_freq_4_amplitude_0.05_rep_0_l_N_2.0.png	 N	 l	 r	 n.a.	 8.580738e-01
5	 2	 7	 flanked	 rf	 4	 0.200000	 2.000000	 flanked_rf_freq_4_amplitude_0.2_rep_0_l_N_2.0.png	 N	 l	 b	 n.a.	 8.178909e-01
5	 2	 8	 flanked	 rf	 4	 0.050000	 2.000000	 flanked_rf_freq_4_amplitude_0.05_rep_7_l_D_2.0.png	 D	 l	 r	 n.a.	 5.615876e-01
5	 2	 9	 flanked	 rf	 4	 0.200000	 2.000000	 flanked_rf_freq_4_amplitude_0.2_rep_9_l_N_2.0.png	 N	 l	 r	 n.a.	 9.878889e-01
5	 2	 10	 flanked	 rf	 4	 0.050000	 2.000000	 flanked_rf_freq_4_amplitude_0.05_rep_4_l_H_2.0.png	 H	 l	 t	 n.a.	 1.003483e+00
5	 2	 11	 flanked	 rf	 4	 0.425000	 2.000000	 flanked_rf_freq_4_amplitude_0.425_rep_4_l_D_2.0.png	 D	 l	 l	 n.a.	 5.633388e-01
5	 2	 12	 flanked	 rf	 4	 0.275000	 2.000000	 flanked_rf_freq_4_amplitude_0.275_rep_1_r_D_2.0.png	 D	 r	 b	 n.a.	 6.779996e-01
5	 2	 13	 flanked	 rf	 4	 0.500000	 2.000000	 flanked_rf_freq_4_amplitude_0.5_rep_2_b_D_2.0.png	 D	 b	 r	 n.a.	 1.077363e+00
5	 2	 14	 flanked	 rf	 4	 0.200000	 2.000000	 flanked_rf_freq_4_amplitude_0.2_rep_2_r_D_2.0.png	 D	 r	 r	 n.a.	 6.183552e-01
5	 2	 15	 flanked	 rf	 4	 0.500000	 2.000000	 flanked_rf_freq_4_amplitude_0.5_rep_0_b_D_2.0.png	 D	 b	 t	 n.a.	 1.065646e+00
5	 2	 16	 flanked	 rf	 4	 0.275000	 2.000000	 flanked_rf_freq_4_amplitude_0.275_rep_0_r_K_2.0.png	 K	 r	 r	 n.a.	 6.584232e-01
5	 2	 17	 flanked	 rf	 4	 0.050000	 2.000000	 flanked_rf_freq_4_amplitude_0.05_rep_1_l_H_2.0.png	 H	 l	 b	 n.a.	 1.005095e+00
5	 2	 18	 flanked	 rf	 4	 0.350000	 2.000000	 flanked_rf_freq_4_amplitude_0.35_rep_4_b_N_2.0.png	 N	 b	 t	 n.a.	 7.773042e-01
5	 2	 19	 flanked	 rf	 4	 0.125000	 2.000000	 flanked_rf_freq_4_amplitude_0.125_rep_7_l_N_2.0.png	 N	 l	 b	 n.a.	 7.571731e-01
5	 2	 20	 flanked	 rf	 4	 0.200000	 2.000000	 flanked_rf_freq_4_amplitude_0.2_rep_4_l_D_2.0.png	 D	 l	 t	 n.a.	 9.398392e-01
5	 2	 21	 flanked	 rf	 4	 0.125000	 2.000000	 flanked_rf_freq_4_amplitude_0.125_rep_1_l_K_2.0.png	 K	 l	 l	 n.a.	 1.074880e+00
5	 2	 22	 flanked	 rf	 4	 0.425000	 2.000000	 flanked_rf_freq_4_amplitude_0.425_rep_4_l_D_2.0.png	 D	 l	 l	 n.a.	 7.638972e-01
5	 2	 23	 flanked	 rf	 4	 0.425000	 2.000000	 flanked_rf_freq_4_amplitude_0.425_rep_7_r_H_2.0.png	 H	 r	 r	 n.a.	 1.041221e+00
5	 2	 24	 flanked	 rf	 4	 0.200000	 2.000000	 flanked_rf_freq_4_amplitude_0.2_rep_3_t_N_2.0.png	 N	 t	 t	 n.a.	 9.083774e-01
5	 2	 25	 flanked	 rf	 4	 0.350000	 2.000000	 flanked_rf_freq_4_amplitude_0.35_rep_8_b_H_2.0.png	 H	 b	 b	 n.a.	 7.831831e-01
5	 2	 26	 flanked	 rf	 4	 0.200000	 2.000000	 flanked_rf_freq_4_amplitude_0.2_rep_8_t_N_2.0.png	 N	 t	 r	 n.a.	 9.551568e-01
5	 2	 27	 flanked	 rf	 4	 0.050000	 2.000000	 flanked_rf_freq_4_amplitude_0.05_rep_5_t_H_2.0.png	 H	 t	 b	 n.a.	 4.298472e-01
5	 2	 28	 flanked	 rf	 4	 0.200000	 2.000000	 flanked_rf_freq_4_amplitude_0.2_rep_9_l_N_2.0.png	 N	 l	 r	 n.a.	 5.137433e-01
5	 2	 29	 flanked	 rf	 4	 0.050000	 2.000000	 flanked_rf_freq_4_amplitude_0.05_rep_3_b_N_2.0.png	 N	 b	 b	 n.a.	 7.096688e-01
5	 2	 30	 flanked	 rf	 4	 0.125000	 2.000000	 flanked_rf_freq_4_amplitude_0.125_rep_8_l_K_2.0.png	 K	 l	 l	 n.a.	 4.440096e-01
5	 2	 31	 flanked	 rf	 4	 0.350000	 2.000000	 flanked_rf_freq_4_amplitude_0.35_rep_7_r_K_2.0.png	 K	 r	 r	 n.a.	 7.471628e-01
5	 2	 32	 flanked	 rf	 4	 0.500000	 2.000000	 flanked_rf_freq_4_amplitude_0.5_rep_1_b_H_2.0.png	 H	 b	 t	 n.a.	 6.941536e-01
5	 2	 33	 flanked	 rf	 4	 0.350000	 2.000000	 flanked_rf_freq_4_amplitude_0.35_rep_2_b_D_2.0.png	 D	 b	 b	 n.a.	 8.534679e-01
5	 2	 34	 flanked	 rf	 4	 0.200000	 2.000000	 flanked_rf_freq_4_amplitude_0.2_rep_2_r_D_2.0.png	 D	 r	 r	 n.a.	 1.586292e+00
5	 2	 35	 flanked	 rf	 4	 0.275000	 2.000000	 flanked_rf_freq_4_amplitude_0.275_rep_9_t_D_2.0.png	 D	 t	 r	 n.a.	 7.081571e-01
