subject	 session	 trial	 flanked	 distortion	 freq	 amplitude	 spacing	 im_name	 targ_letter	 targ_pos	 response	 eyemovement	 RT
2	 1	 1	 flanked	 rf	 4	 0.050000	 2.000000	 flanked_rf_freq_4_amplitude_0.05_rep_8_t_N_2.0.png	 N	 t	 b	 n.a.	 8.572877e-01
2	 1	 2	 flanked	 rf	 4	 0.050000	 2.000000	 flanked_rf_freq_4_amplitude_0.05_rep_3_b_H_2.0.png	 H	 b	 l	 n.a.	 5.607726e-01
2	 1	 3	 flanked	 rf	 4	 0.350000	 2.000000	 flanked_rf_freq_4_amplitude_0.35_rep_5_b_N_2.0.png	 N	 b	 b	 n.a.	 9.013498e-01
2	 1	 4	 flanked	 rf	 4	 0.200000	 2.000000	 flanked_rf_freq_4_amplitude_0.2_rep_4_r_H_2.0.png	 H	 r	 r	 n.a.	 7.878709e-01
2	 1	 5	 flanked	 rf	 4	 0.200000	 2.000000	 flanked_rf_freq_4_amplitude_0.2_rep_8_b_H_2.0.png	 H	 b	 b	 n.a.	 6.713118e-01
2	 1	 6	 flanked	 rf	 4	 0.275000	 2.000000	 flanked_rf_freq_4_amplitude_0.275_rep_6_l_K_2.0.png	 K	 l	 l	 n.a.	 9.849125e-01
2	 1	 7	 flanked	 rf	 4	 0.125000	 2.000000	 flanked_rf_freq_4_amplitude_0.125_rep_4_l_H_2.0.png	 H	 l	 b	 n.a.	 4.537929e-01
2	 1	 8	 flanked	 rf	 4	 0.350000	 2.000000	 flanked_rf_freq_4_amplitude_0.35_rep_8_t_H_2.0.png	 H	 t	 t	 n.a.	 7.096276e-01
2	 1	 9	 flanked	 rf	 4	 0.275000	 2.000000	 flanked_rf_freq_4_amplitude_0.275_rep_0_t_H_2.0.png	 H	 t	 r	 n.a.	 3.670542e-01
2	 1	 10	 flanked	 rf	 4	 0.200000	 2.000000	 flanked_rf_freq_4_amplitude_0.2_rep_1_l_K_2.0.png	 K	 l	 b	 n.a.	 3.273329e-01
2	 1	 11	 flanked	 rf	 4	 0.500000	 2.000000	 flanked_rf_freq_4_amplitude_0.5_rep_6_t_D_2.0.png	 D	 t	 b	 n.a.	 6.224801e-01
2	 1	 12	 flanked	 rf	 4	 0.350000	 2.000000	 flanked_rf_freq_4_amplitude_0.35_rep_0_l_D_2.0.png	 D	 l	 l	 n.a.	 6.676799e-01
2	 1	 13	 flanked	 rf	 4	 0.275000	 2.000000	 flanked_rf_freq_4_amplitude_0.275_rep_1_r_D_2.0.png	 D	 r	 b	 n.a.	 5.945670e-01
2	 1	 14	 flanked	 rf	 4	 0.275000	 2.000000	 flanked_rf_freq_4_amplitude_0.275_rep_5_l_D_2.0.png	 D	 l	 r	 n.a.	 6.452951e-01
2	 1	 15	 flanked	 rf	 4	 0.125000	 2.000000	 flanked_rf_freq_4_amplitude_0.125_rep_3_b_H_2.0.png	 H	 b	 b	 n.a.	 5.437844e-01
2	 1	 16	 flanked	 rf	 4	 0.200000	 2.000000	 flanked_rf_freq_4_amplitude_0.2_rep_5_r_D_2.0.png	 D	 r	 r	 n.a.	 5.163385e-01
2	 1	 17	 flanked	 rf	 4	 0.425000	 2.000000	 flanked_rf_freq_4_amplitude_0.425_rep_2_t_K_2.0.png	 K	 t	 b	 n.a.	 7.358570e-01
2	 1	 18	 flanked	 rf	 4	 0.500000	 2.000000	 flanked_rf_freq_4_amplitude_0.5_rep_4_b_H_2.0.png	 H	 b	 l	 n.a.	 6.004757e-01
2	 1	 19	 flanked	 rf	 4	 0.200000	 2.000000	 flanked_rf_freq_4_amplitude_0.2_rep_2_l_D_2.0.png	 D	 l	 b	 n.a.	 5.536257e-01
2	 1	 20	 flanked	 rf	 4	 0.050000	 2.000000	 flanked_rf_freq_4_amplitude_0.05_rep_3_b_H_2.0.png	 H	 b	 t	 n.a.	 3.857987e-01
2	 1	 21	 flanked	 rf	 4	 0.350000	 2.000000	 flanked_rf_freq_4_amplitude_0.35_rep_4_b_K_2.0.png	 K	 b	 b	 n.a.	 4.724261e-01
2	 1	 22	 flanked	 rf	 4	 0.125000	 2.000000	 flanked_rf_freq_4_amplitude_0.125_rep_5_t_N_2.0.png	 N	 t	 b	 n.a.	 5.132685e-01
2	 1	 23	 flanked	 rf	 4	 0.125000	 2.000000	 flanked_rf_freq_4_amplitude_0.125_rep_7_b_D_2.0.png	 D	 b	 r	 n.a.	 6.043906e-01
2	 1	 24	 flanked	 rf	 4	 0.425000	 2.000000	 flanked_rf_freq_4_amplitude_0.425_rep_6_t_K_2.0.png	 K	 t	 b	 n.a.	 5.327440e-01
2	 1	 25	 flanked	 rf	 4	 0.200000	 2.000000	 flanked_rf_freq_4_amplitude_0.2_rep_6_b_N_2.0.png	 N	 b	 b	 n.a.	 6.071751e-01
2	 1	 26	 flanked	 rf	 4	 0.500000	 2.000000	 flanked_rf_freq_4_amplitude_0.5_rep_2_r_H_2.0.png	 H	 r	 r	 n.a.	 9.707902e-01
2	 1	 27	 flanked	 rf	 4	 0.350000	 2.000000	 flanked_rf_freq_4_amplitude_0.35_rep_1_l_K_2.0.png	 K	 l	 r	 n.a.	 7.313618e-01
2	 1	 28	 flanked	 rf	 4	 0.425000	 2.000000	 flanked_rf_freq_4_amplitude_0.425_rep_9_r_D_2.0.png	 D	 r	 b	 n.a.	 4.053088e-01
2	 1	 29	 flanked	 rf	 4	 0.200000	 2.000000	 flanked_rf_freq_4_amplitude_0.2_rep_6_b_N_2.0.png	 N	 b	 l	 n.a.	 6.632562e-01
2	 1	 30	 flanked	 rf	 4	 0.050000	 2.000000	 flanked_rf_freq_4_amplitude_0.05_rep_5_b_K_2.0.png	 K	 b	 b	 n.a.	 5.572824e-01
2	 1	 31	 flanked	 rf	 4	 0.050000	 2.000000	 flanked_rf_freq_4_amplitude_0.05_rep_0_r_H_2.0.png	 H	 r	 r	 n.a.	 6.096165e-01
2	 1	 32	 flanked	 rf	 4	 0.500000	 2.000000	 flanked_rf_freq_4_amplitude_0.5_rep_9_l_K_2.0.png	 K	 l	 l	 n.a.	 9.723312e-01
2	 1	 33	 flanked	 rf	 4	 0.125000	 2.000000	 flanked_rf_freq_4_amplitude_0.125_rep_0_r_H_2.0.png	 H	 r	 l	 n.a.	 8.256302e-01
2	 1	 34	 flanked	 rf	 4	 0.500000	 2.000000	 flanked_rf_freq_4_amplitude_0.5_rep_0_b_N_2.0.png	 N	 b	 b	 n.a.	 5.454841e-01
2	 1	 35	 flanked	 rf	 4	 0.125000	 2.000000	 flanked_rf_freq_4_amplitude_0.125_rep_3_b_H_2.0.png	 H	 b	 r	 n.a.	 3.686959e-01
2	 1	 36	 flanked	 rf	 4	 0.500000	 2.000000	 flanked_rf_freq_4_amplitude_0.5_rep_7_t_D_2.0.png	 D	 t	 b	 n.a.	 5.996103e-01
2	 1	 37	 flanked	 rf	 4	 0.200000	 2.000000	 flanked_rf_freq_4_amplitude_0.2_rep_9_l_D_2.0.png	 D	 l	 r	 n.a.	 1.134237e+00
2	 1	 38	 flanked	 rf	 4	 0.425000	 2.000000	 flanked_rf_freq_4_amplitude_0.425_rep_3_t_K_2.0.png	 K	 t	 t	 n.a.	 7.188595e-01
2	 1	 39	 flanked	 rf	 4	 0.050000	 2.000000	 flanked_rf_freq_4_amplitude_0.05_rep_5_b_K_2.0.png	 K	 b	 l	 n.a.	 6.598449e-01
2	 1	 40	 flanked	 rf	 4	 0.125000	 2.000000	 flanked_rf_freq_4_amplitude_0.125_rep_1_l_K_2.0.png	 K	 l	 b	 n.a.	 4.181304e-01
2	 1	 41	 flanked	 rf	 4	 0.275000	 2.000000	 flanked_rf_freq_4_amplitude_0.275_rep_1_r_D_2.0.png	 D	 r	 r	 n.a.	 3.409836e-01
2	 1	 42	 flanked	 rf	 4	 0.050000	 2.000000	 flanked_rf_freq_4_amplitude_0.05_rep_2_t_N_2.0.png	 N	 t	 b	 n.a.	 5.487645e-01
