subject	 session	 trial	 flanked	 distortion	 freq	 amplitude	 spacing	 im_name	 targ_letter	 targ_pos	 response	 eyemovement	 RT
7	 1	 1	 flanked	 rf	 4	 0.275000	 2.000000	 flanked_rf_freq_4_amplitude_0.275_rep_8_l_D_2.0_ampflank_0.425.png	 D	 l	 l	 n.a.	 5.831575e-01
7	 1	 2	 flanked	 rf	 4	 0.125000	 2.000000	 flanked_rf_freq_4_amplitude_0.125_rep_9_l_D_2.0_ampflank_0.425.png	 D	 l	 r	 n.a.	 5.644472e-01
7	 1	 3	 flanked	 rf	 4	 0.425000	 2.000000	 flanked_rf_freq_4_amplitude_0.425_rep_8_b_D_2.0_ampflank_0.425.png	 D	 b	 t	 n.a.	 5.429517e-01
7	 1	 4	 flanked	 rf	 4	 0.350000	 2.000000	 flanked_rf_freq_4_amplitude_0.35_rep_6_b_D_2.0_ampflank_0.425.png	 D	 b	 l	 n.a.	 4.207105e-01
7	 1	 5	 flanked	 rf	 4	 0.275000	 2.000000	 flanked_rf_freq_4_amplitude_0.275_rep_6_b_N_2.0_ampflank_0.425.png	 N	 b	 b	 n.a.	 4.304246e-01
7	 1	 6	 flanked	 rf	 4	 0.200000	 2.000000	 flanked_rf_freq_4_amplitude_0.2_rep_4_r_K_2.0_ampflank_0.425.png	 K	 r	 r	 n.a.	 5.718644e-01
7	 1	 7	 flanked	 rf	 4	 0.025000	 2.000000	 flanked_rf_freq_4_amplitude_0.025_rep_1_l_D_2.0_ampflank_0.425.png	 D	 l	 l	 n.a.	 5.634077e-01
7	 1	 8	 flanked	 rf	 4	 0.125000	 2.000000	 flanked_rf_freq_4_amplitude_0.125_rep_1_l_H_2.0_ampflank_0.425.png	 H	 l	 r	 n.a.	 6.166870e-01
7	 1	 9	 flanked	 rf	 4	 0.050000	 2.000000	 flanked_rf_freq_4_amplitude_0.05_rep_5_l_H_2.0_ampflank_0.425.png	 H	 l	 t	 n.a.	 6.839020e-01
7	 1	 10	 flanked	 rf	 4	 0.050000	 2.000000	 flanked_rf_freq_4_amplitude_0.05_rep_4_r_D_2.0_ampflank_0.425.png	 D	 r	 r	 n.a.	 4.690971e-01
7	 1	 11	 flanked	 rf	 4	 0.275000	 2.000000	 flanked_rf_freq_4_amplitude_0.275_rep_4_l_H_2.0_ampflank_0.425.png	 H	 l	 t	 n.a.	 7.760567e-01
7	 1	 12	 flanked	 rf	 4	 0.200000	 2.000000	 flanked_rf_freq_4_amplitude_0.2_rep_7_r_D_2.0_ampflank_0.425.png	 D	 r	 r	 n.a.	 5.092670e-01
7	 1	 13	 flanked	 rf	 4	 0.350000	 2.000000	 flanked_rf_freq_4_amplitude_0.35_rep_2_l_D_2.0_ampflank_0.425.png	 D	 l	 t	 n.a.	 5.640593e-01
7	 1	 14	 flanked	 rf	 4	 0.200000	 2.000000	 flanked_rf_freq_4_amplitude_0.2_rep_5_l_K_2.0_ampflank_0.425.png	 K	 l	 l	 n.a.	 4.016417e-01
7	 1	 15	 flanked	 rf	 4	 0.125000	 2.000000	 flanked_rf_freq_4_amplitude_0.125_rep_6_l_D_2.0_ampflank_0.425.png	 D	 l	 r	 n.a.	 5.456195e-01
7	 1	 16	 flanked	 rf	 4	 0.025000	 2.000000	 flanked_rf_freq_4_amplitude_0.025_rep_2_b_K_2.0_ampflank_0.425.png	 K	 b	 b	 n.a.	 5.564454e-01
7	 1	 17	 flanked	 rf	 4	 0.050000	 2.000000	 flanked_rf_freq_4_amplitude_0.05_rep_1_t_N_2.0_ampflank_0.425.png	 N	 t	 t	 n.a.	 4.419838e-01
7	 1	 18	 flanked	 rf	 4	 0.025000	 2.000000	 flanked_rf_freq_4_amplitude_0.025_rep_0_l_D_2.0_ampflank_0.425.png	 D	 l	 r	 n.a.	 7.822276e-01
7	 1	 19	 flanked	 rf	 4	 0.125000	 2.000000	 flanked_rf_freq_4_amplitude_0.125_rep_8_l_N_2.0_ampflank_0.425.png	 N	 l	 l	 n.a.	 4.383548e-01
7	 1	 20	 flanked	 rf	 4	 0.025000	 2.000000	 flanked_rf_freq_4_amplitude_0.025_rep_8_t_K_2.0_ampflank_0.425.png	 K	 t	 t	 n.a.	 6.519251e-01
7	 1	 21	 flanked	 rf	 4	 0.200000	 2.000000	 flanked_rf_freq_4_amplitude_0.2_rep_3_t_H_2.0_ampflank_0.425.png	 H	 t	 t	 n.a.	 5.941786e-01
7	 1	 22	 flanked	 rf	 4	 0.350000	 2.000000	 flanked_rf_freq_4_amplitude_0.35_rep_3_t_H_2.0_ampflank_0.425.png	 H	 t	 r	 n.a.	 4.268339e-01
7	 1	 23	 flanked	 rf	 4	 0.275000	 2.000000	 flanked_rf_freq_4_amplitude_0.275_rep_8_l_D_2.0_ampflank_0.425.png	 D	 l	 b	 n.a.	 5.101211e-01
7	 1	 24	 flanked	 rf	 4	 0.425000	 2.000000	 flanked_rf_freq_4_amplitude_0.425_rep_0_t_N_2.0_ampflank_0.425.png	 N	 t	 r	 n.a.	 6.512223e-01
7	 1	 25	 flanked	 rf	 4	 0.025000	 2.000000	 flanked_rf_freq_4_amplitude_0.025_rep_4_l_K_2.0_ampflank_0.425.png	 K	 l	 t	 n.a.	 3.801039e-01
7	 1	 26	 flanked	 rf	 4	 0.350000	 2.000000	 flanked_rf_freq_4_amplitude_0.35_rep_1_b_D_2.0_ampflank_0.425.png	 D	 b	 l	 n.a.	 3.787350e-01
7	 1	 27	 flanked	 rf	 4	 0.200000	 2.000000	 flanked_rf_freq_4_amplitude_0.2_rep_0_r_H_2.0_ampflank_0.425.png	 H	 r	 r	 n.a.	 4.516660e-01
7	 1	 28	 flanked	 rf	 4	 0.350000	 2.000000	 flanked_rf_freq_4_amplitude_0.35_rep_6_b_D_2.0_ampflank_0.425.png	 D	 b	 b	 n.a.	 5.558673e-01
