letter,flanked,distortion,freq,amplitude,rep,FC,SE
N,flanked,rf,2,0.0075,6,2.66531022281647,1.31653992333701
N,flanked,rf,2,0.01,1,2.65800163451033,1.32110541422573
N,flanked,rf,2,0.01,2,2.66500696726347,1.29484401544213
N,flanked,rf,2,0.165,0,2.6628210196886,1.26875669554194
N,flanked,rf,2,0.165,4,2.66277026082056,1.31812100410914
N,flanked,rf,2,0.165,9,2.66383437918114,1.29749534345395
N,flanked,rf,2,0.0617,0,2.66314825401726,1.30630788356765
N,flanked,rf,2,0.0617,3,2.66133458185054,1.24794779854823
N,flanked,rf,2,0.0617,7,2.66187103318252,1.31368621124742
N,flanked,rf,2,0.1133,6,2.66328530960226,1.32229463455965
N,flanked,rf,2,0.1133,7,2.66319676011482,1.30795630227919
N,flanked,rf,2,0.1133,8,2.66208929324079,1.32185096157446
N,flanked,rf,2,0.2167,0,2.66762110335647,1.30200801512727
N,flanked,rf,2,0.2167,3,2.66314048828563,1.30973671829423
N,flanked,rf,2,0.2167,4,2.66229601705461,1.31195800109391
N,flanked,rf,2,0.2167,9,2.6578851190202,1.33446435096894
N,flanked,rf,2,0.2683,2,2.66329201561285,1.30081754575884
N,flanked,rf,2,0.2683,3,2.66268151582804,1.29551992403993
N,flanked,rf,2,0.2683,4,2.661269718403,1.31073748578859
N,flanked,rf,2,0.2683,6,2.66070220863146,1.28926622580519
N,flanked,rf,2,0.2683,7,2.66111872911861,1.33623766896068
N,flanked,rf,2,0.32,2,2.66130625151324,1.29472696500709
N,flanked,rf,2,0.32,4,2.66108930336374,1.29778179653954
N,flanked,rf,3,0.01,0,2.66126671810834,1.27053013881632
N,flanked,rf,3,0.01,5,2.66411876629303,1.3043692027454
N,flanked,rf,3,0.165,1,2.66044333473425,1.27746553692006
N,flanked,rf,3,0.165,3,2.66332714662178,1.26196978159306
N,flanked,rf,3,0.0617,4,2.66173234722326,1.27206659627097
N,flanked,rf,3,0.0617,5,2.65938694405365,1.2921323245457
N,flanked,rf,3,0.1133,3,2.66347731354646,1.29344811337064
N,flanked,rf,3,0.1133,6,2.66255560312158,1.28333063583707
N,flanked,rf,3,0.1133,8,2.66655458803505,1.29282397237503
N,flanked,rf,3,0.1133,9,2.66083994957334,1.30543152991818
N,flanked,rf,3,0.2167,3,2.65909063188408,1.2586617263174
N,flanked,rf,3,0.2167,5,2.65961011706676,1.27853729702899
N,flanked,rf,3,0.2683,1,2.6640942940811,1.2890580622355
N,flanked,rf,3,0.2683,4,2.66172705518265,1.27544299104984
N,flanked,rf,3,0.2683,7,2.66267166245082,1.30861411796029
N,flanked,rf,3,0.32,3,2.66137875852266,1.31103306482654
N,flanked,rf,3,0.32,9,2.66260463978517,1.32424236111036
N,flanked,rf,4,0.0075,1,2.66460742973474,1.31172915071198
