letter,distortion,freq,amplitude,rep,n_dist_flanks,FC,SE
N,rf,4,0.05,6,0,2.65989720321607,1.28898771420413
N,rf,4,0.05,7,0,2.66608244704034,1.31072518899936
N,rf,4,0.05,8,0,2.66304639616707,1.28277808274574
N,rf,4,0.125,0,0,2.6620402585866,1.25423531721765
N,rf,4,0.125,2,0,2.66305459881211,1.2893120518684
N,rf,4,0.125,4,0,2.66236616648877,1.30306968922605
N,rf,4,0.2,3,0,2.66026708002663,1.27061909114446
N,rf,4,0.275,1,0,2.66159981005351,1.26061721694489
N,rf,4,0.275,8,0,2.6638238598837,1.31176987271703
N,rf,4,0.35,0,0,2.66553359725226,1.30034192951997
N,rf,4,0.35,1,0,2.66167573657889,1.2727390573414
N,rf,4,0.35,6,0,2.66095849324357,1.28621589483943
N,rf,4,0.35,7,0,2.66464915538641,1.2747922135244
N,rf,4,0.425,0,0,2.66285485885605,1.31914558880122
N,rf,4,0.425,7,0,2.66048868194417,1.32234517095116
N,rf,4,0.5,2,0,2.66015679871584,1.29001082376418
N,rf,4,0.5,3,0,2.66122406249311,1.30644053305382
N,rf,4,0.5,5,0,2.66116293109574,1.27564176301531
N,rf,4,0.5,7,0,2.66047749742071,1.26095288718414
N,bex,4,1,2,0,2.66276253759222,1.3237062522669
N,bex,4,1,3,0,2.65962527403789,1.31716002564383
N,bex,4,1,4,0,2.6622388530927,1.2921564832434
N,bex,4,1,8,0,2.66303230091895,1.29796885411951
N,bex,4,2,6,0,2.66151491715421,1.3248055115588
N,bex,4,2,7,0,2.66032688188158,1.32422399654725
N,bex,4,2,9,0,2.65944332685264,1.30659907706983
N,bex,4,3,1,0,2.66371711074682,1.2931577839184
N,bex,4,3,5,0,2.66628697787949,1.28010251423542
N,bex,4,3,6,0,2.66342856925166,1.28525781113738
N,bex,4,4,0,0,2.66680374452385,1.29850096273457
N,bex,4,4,8,0,2.66307026891062,1.26205615075581
N,bex,4,5,1,0,2.6595724372375,1.30694759847724
N,bex,4,5,5,0,2.66285321458804,1.34890175564324
N,bex,4,5,7,0,2.66324211660501,1.28194928456866
N,bex,4,5,8,0,2.66687901268497,1.27423917983711
N,bex,4,6,2,0,2.66636254280286,1.30798802693078
N,bex,4,6,3,0,2.66146557199809,1.2817929473471
N,bex,4,7,2,0,2.66716465973541,1.2892246688476
N,bex,4,7,3,0,2.66030334942958,1.31231860668664
N,bex,4,7,7,0,2.66668859625191,1.28456201451944
N,rf,4,0.05,2,2,2.64878837315024,1.29335980099515
N,rf,4,0.05,6,2,2.65180939381855,1.26056786480887
N,rf,4,0.2,0,2,2.6692407789823,1.26081131089957
N,rf,4,0.2,5,2,2.65263954490476,1.25920475894255
N,rf,4,0.2,7,2,2.66363469860432,1.28010099500508
N,rf,4,0.2,9,2,2.66262234983226,1.29586540808048
N,rf,4,0.275,0,2,2.68370967382482,1.25672857393352
N,rf,4,0.275,8,2,2.66445330409682,1.30329292534126
N,rf,4,0.35,5,2,2.66470396540457,1.2659158543178
N,rf,4,0.35,6,2,2.67517001525528,1.28953869610388
N,rf,4,0.35,8,2,2.66637719302967,1.24559726854871
N,rf,4,0.425,6,2,2.67887117648403,1.2764281652128
N,rf,4,0.5,1,2,2.68115543426917,1.24283267314192
N,rf,4,0.5,6,2,2.67294434461858,1.2397202929843
N,rf,4,0.5,9,2,2.68708632217771,1.27975243048999
N,bex,4,1,4,2,2.6603016690415,1.28005049320315
N,bex,4,1,6,2,2.65294191448187,1.29843804472528
N,bex,4,1,8,2,2.65456789456517,1.31934998630924
N,bex,4,1,9,2,2.65459463581926,1.29095283084203
N,bex,4,2,1,2,2.66863953564298,1.28985272465754
N,bex,4,2,5,2,2.66516255858296,1.28439789371588
N,bex,4,2,7,2,2.65315236275923,1.23497968902765
N,bex,4,3,0,2,2.67370975515259,1.29954860372032
N,bex,4,3,1,2,2.66027004416366,1.28786689478708
N,bex,4,4,5,2,2.66319765261598,1.25649689052974
N,bex,4,4,9,2,2.65604293594954,1.2774497354914
N,bex,4,5,2,2,2.6792747764931,1.26242069114024
N,bex,4,5,6,2,2.66846309989847,1.2463901975291
N,bex,4,5,7,2,2.66459328913154,1.26886075314072
N,bex,4,6,0,2,2.65756579115048,1.2675134961411
N,bex,4,6,8,2,2.66754928160894,1.27565530307149
N,bex,4,7,0,2,2.67441199526606,1.19998690106469
N,bex,4,7,3,2,2.67785401121915,1.24486183470352
N,rf,4,0.05,0,4,2.65144751582288,1.25796760982115
N,rf,4,0.05,3,4,2.65020382662568,1.2832336669113
N,rf,4,0.05,8,4,2.6457557096818,1.29225919612054
N,rf,4,0.05,9,4,2.64767972576122,1.28855630709109
N,rf,4,0.125,3,4,2.65397280412645,1.28071716492908
N,rf,4,0.125,6,4,2.64481156422034,1.27608517051011
N,rf,4,0.125,7,4,2.64566300801687,1.28245077213248
N,rf,4,0.2,0,4,2.65222283158116,1.3010098801585
N,rf,4,0.2,3,4,2.65703856555639,1.26155018066802
N,rf,4,0.2,8,4,2.65556584082259,1.2660814417066
N,rf,4,0.2,9,4,2.65696395415535,1.34359546393981
N,rf,4,0.275,3,4,2.66799475987937,1.25700647803817
N,rf,4,0.35,4,4,2.66246488265643,1.23219173801512
N,rf,4,0.425,1,4,2.66977931531665,1.25373717237019
N,rf,4,0.425,2,4,2.68741587626743,1.23098362611687
N,rf,4,0.425,3,4,2.67691583998744,1.25044974610894
N,rf,4,0.425,6,4,2.68088401544108,1.22839501645353
N,rf,4,0.5,7,4,2.69557151734799,1.19945781753642
N,bex,4,1,5,4,2.65154210359802,1.26979160792131
N,bex,4,1,9,4,2.65323787351161,1.28490706896562
N,bex,4,2,2,4,2.65313879814629,1.2547977729703
N,bex,4,2,9,4,2.65183106165751,1.280169662783
N,bex,4,3,3,4,2.66185310019437,1.31675482881048
N,bex,4,3,4,4,2.6648829008303,1.2268921619153
N,bex,4,3,7,4,2.6623667887052,1.28282080916487
N,bex,4,4,1,4,2.67261894184603,1.25461903419596
N,bex,4,4,4,4,2.66977167407526,1.25414932394825
N,bex,4,5,0,4,2.67332127340202,1.19213842755596
N,bex,4,5,4,4,2.67362673955169,1.23414830212245
N,bex,4,5,5,4,2.66763686856702,1.23617468535665
N,bex,4,5,6,4,2.67350176557021,1.23853523305371
N,bex,4,5,7,4,2.67943096433544,1.24804783942383
N,bex,4,6,3,4,2.67945320676134,1.28283078331868
N,bex,4,6,4,4,2.68296455092197,1.22893654595356
N,bex,4,7,3,4,2.6785230964272,1.23500433669994
K,rf,4,0.05,3,0,2.65915598688813,1.31742905380526
K,rf,4,0.05,4,0,2.66137707205716,1.29857301622403
K,rf,4,0.125,9,0,2.66108510970079,1.32508727543959
K,rf,4,0.2,0,0,2.66278014991214,1.29303803986301
K,rf,4,0.2,2,0,2.66329418848125,1.36779501110303
K,rf,4,0.2,7,0,2.66080393297875,1.28286178766618
K,rf,4,0.2,8,0,2.65967462228638,1.31797298285961
K,rf,4,0.275,5,0,2.66119222626513,1.31013339901956
K,rf,4,0.275,6,0,2.66502028838002,1.32440750871583
K,rf,4,0.425,6,0,2.66595453845486,1.28083057173262
K,rf,4,0.425,8,0,2.66199485172692,1.25856526585196
K,bex,4,1,5,0,2.66167767876402,1.31029003486574
K,bex,4,2,0,0,2.66366588820263,1.3175307770334
K,bex,4,2,2,0,2.66210514772444,1.29907436752913
K,bex,4,2,8,0,2.66323530938575,1.29780976459597
K,bex,4,3,0,0,2.66327902096166,1.28232729072579
K,bex,4,3,2,0,2.66373530656385,1.34112035635603
K,bex,4,3,3,0,2.66170767008802,1.33757822899047
K,bex,4,3,8,0,2.66348234622264,1.28467429624275
K,bex,4,4,2,0,2.66112610332349,1.29967316704314
K,bex,4,4,3,0,2.66062485503585,1.32058892844325
K,bex,4,5,3,0,2.6614007017502,1.32083046824174
K,rf,4,0.05,3,2,2.65247987950017,1.27985353674071
K,rf,4,0.05,4,2,2.65456881070026,1.3039466066147
K,rf,4,0.05,5,2,2.65592058377686,1.27336133187658
K,rf,4,0.05,7,2,2.65479798271096,1.29739372205829
