"","subject","flanked","freq","sens","sensconfi_low","sensconfi_high","threshold","threshconfi_low","threshconfi_high","distortion","log_freq"
"1","AM","unflanked",1.3,16.712385,2.611686,4.071333,0.059836,0.011721,0.011083,"BPN",0.262364264467491
"2","AM","unflanked",2.6,27.20257,4.489921,7.672021,0.036761,0.008087,0.007267,"BPN",0.955511445027436
"3","AM","unflanked",4,39.963355,9.878741,27.774676,0.025023,0.01026,0.008217,"BPN",1.38629436111989
"4","AM","unflanked",5.3,33.34291,5.250629,7.16175,0.029991,0.005303,0.005606,"BPN",1.66770682055808
"5","AM","unflanked",10.6,33.580662,6.415735,9.058962,0.029779,0.006327,0.007033,"BPN",2.36085400111802
"6","AM","unflanked",21.3,28.448465,5.286354,7.530598,0.035151,0.007357,0.008023,"BPN",3.05870707271538
"7","AM","flanked",1.3,14.4329,1.886718,2.093298,0.069286,0.008776,0.010419,"BPN",0.262364264467491
"8","AM","flanked",2.6,18.906277,5.471751,11.495051,0.052892,0.019999,0.021543,"BPN",0.955511445027436
"9","AM","flanked",4,28.785321,7.729686,12.166797,0.03474,0.010321,0.012753,"BPN",1.38629436111989
"10","AM","flanked",5.3,25.955512,3.618583,5.526589,0.038527,0.006763,0.006241,"BPN",1.66770682055808
"11","AM","flanked",10.6,25.1252,3.026074,4.81749,0.039801,0.006404,0.00545,"BPN",2.36085400111802
"12","AM","flanked",21.3,24.634898,3.91687,5.596007,0.040593,0.007514,0.007674,"BPN",3.05870707271538
"13","MF","unflanked",1.3,18.374563,2.507051,3.426154,0.054423,0.008553,0.008599,"BPN",0.262364264467491
"14","MF","unflanked",2.6,30.370139,5.044633,7.653563,0.032927,0.006628,0.006559,"BPN",0.955511445027436
"15","MF","unflanked",4,35.022112,5.411492,10.969566,0.028553,0.00681,0.005218,"BPN",1.38629436111989
"16","MF","unflanked",5.3,42.424564,6.586938,9.861999,0.023571,0.004446,0.004332,"BPN",1.66770682055808
"17","MF","unflanked",10.6,32.374468,5.666257,9.129627,0.030889,0.006795,0.006553,"BPN",2.36085400111802
