"","subject","session","trial","flanked","distortion","freq","amplitude","spacing","im_name","targ_letter","targ_pos","response","eyemovement","RT","experiment","correct"
"1","TW",1,1," flanked","RF",4,0.125,2," flanked_rf_freq_4_amplitude_0.125_rep_4_t_N_2.0.png"," N"," t"," b"," n.a.",0.3833919,"a",0
"2","TW",1,1," flanked","BPN",4,3,2," flanked_bex_freq_4_amplitude_3_rep_2_r_K_2.0.png"," K"," r"," b"," n.a.",0.7583771,"a",0
"3","TW",1,1," flanked","RF",4,0.2,2," flanked_rf_freq_4_amplitude_0.2_rep_6_b_H_2.0.png"," H"," b"," r"," n.a.",0.7104177,"a",0
"4","TW",1,1," flanked","BPN",4,1,2," flanked_bex_freq_4_amplitude_1_rep_2_r_H_2.0.png"," H"," r"," l"," n.a.",0.5455678,"a",0
"5","TW",1,1," flanked","RF",4,0.425,2," flanked_rf_freq_4_amplitude_0.425_rep_3_b_N_2.0.png"," N"," b"," r"," n.a.",0.4777692,"a",0
"6","TW",1,1," flanked","BPN",4,4,2," flanked_bex_freq_4_amplitude_4_rep_5_r_D_2.0.png"," D"," r"," l"," n.a.",0.5938812,"a",0
"7","TW",1,2," flanked","RF",4,0.425,2," flanked_rf_freq_4_amplitude_0.425_rep_5_b_D_2.0.png"," D"," b"," l"," n.a.",0.4186792,"a",0
"8","TW",1,2," flanked","BPN",4,1,2," flanked_bex_freq_4_amplitude_1_rep_3_r_N_2.0.png"," N"," r"," b"," n.a.",0.4823284,"a",0
"9","TW",1,2," flanked","RF",4,0.35,2," flanked_rf_freq_4_amplitude_0.35_rep_8_b_N_2.0.png"," N"," b"," r"," n.a.",0.8056844,"a",0
"10","TW",1,2," flanked","BPN",4,1,2," flanked_bex_freq_4_amplitude_1_rep_7_r_D_2.0.png"," D"," r"," b"," n.a.",0.3086529,"a",0
"11","TW",1,2," flanked","RF",4,0.425,2," flanked_rf_freq_4_amplitude_0.425_rep_8_r_D_2.0.png"," D"," r"," b"," n.a.",0.4256572,"a",0
"12","TW",1,2," flanked","BPN",4,4,2," flanked_bex_freq_4_amplitude_4_rep_0_l_H_2.0.png"," H"," l"," b"," n.a.",0.351798,"a",0
"13","TW",1,3," flanked","RF",4,0.35,2," flanked_rf_freq_4_amplitude_0.35_rep_9_r_H_2.0.png"," H"," r"," r"," n.a.",0.3825166,"a",1
"14","TW",1,3," flanked","BPN",4,5,2," flanked_bex_freq_4_amplitude_5_rep_2_l_D_2.0.png"," D"," l"," l"," n.a.",0.3406234,"a",1
"15","TW",1,3," flanked","RF",4,0.275,2," flanked_rf_freq_4_amplitude_0.275_rep_6_t_H_2.0.png"," H"," t"," l"," n.a.",0.5932234,"a",0
"16","TW",1,3," flanked","BPN",4,1,2," flanked_bex_freq_4_amplitude_1_rep_5_t_K_2.0.png"," K"," t"," l"," n.a.",0.4614742,"a",0
"17","TW",1,3," flanked","RF",4,0.425,2," flanked_rf_freq_4_amplitude_0.425_rep_6_t_N_2.0.png"," N"," t"," l"," n.a.",0.4871389,"a",0
"18","TW",1,3," flanked","BPN",4,1,2," flanked_bex_freq_4_amplitude_1_rep_2_b_H_2.0.png"," H"," b"," r"," n.a.",0.5715924,"a",0
"19","TW",1,4," flanked","RF",4,0.275,2," flanked_rf_freq_4_amplitude_0.275_rep_5_r_K_2.0.png"," K"," r"," r"," n.a.",0.4457286,"a",1
