"","subject","sens","sensconfi_low","sensconfi_high","threshold","threshconfi_low","threshconfi_high","distortion","n_dist_flanks","experiment"
"1","AM",17.941313,3.462574,6.061566,0.055737,0.014076,0.01333,"BPN",0,"a"
"2","AM",10.33491,2.75256,6.732238,0.096759,0.038167,0.035126,"BPN",2,"a"
"3","AM",8.62431,2.946404,26.970827,0.115951,0.087858,0.06017,"BPN",4,"a"
"4","AM",8.191874,1.981871,4.216541,0.122072,0.041482,0.038958,"BPN",4,"b"
"5","AM",5.974023,0.790964,0.991,0.167391,0.023817,0.025545,"BPN",4,"c"
"6","ST",16.755753,2.322956,3.593999,0.059681,0.01054,0.009606,"BPN",0,"a"
"7","ST",11.418212,3.577938,9.293253,0.087579,0.039297,0.039967,"BPN",2,"a"
"8","ST",10.053524,3.912932,18.263419,0.099468,0.064153,0.063383,"BPN",4,"a"
"9","ST",8.941463,2.036818,3.954906,0.111839,0.034297,0.032992,"BPN",4,"b"
"10","ST",5.947065,0.767736,0.887294,0.16815,0.021831,0.024925,"BPN",4,"c"
"11","TW",12.742036,1.208372,1.565957,0.07848,0.008589,0.008222,"BPN",0,"a"
"12","TW",7.669948,1.016229,1.66383,0.130379,0.023241,0.019913,"BPN",2,"a"
"13","TW",6.056684,0.915419,1.50854,0.165107,0.032923,0.029398,"BPN",4,"a"
"14","TW",6.675535,1.645355,3.640792,0.149801,0.052867,0.048999,"BPN",4,"b"
"15","TW",5.775095,0.732395,0.85143,0.173157,0.022249,0.025149,"BPN",4,"c"
"16","AM",5.92374,0.845818,1.382076,0.168812,0.031935,0.028119,"RF",0,"a"
"17","AM",6.305709,3.277495,14.468943,0.158586,0.110451,0.171641,"RF",2,"a"
"18","AM",1.622286,0.173326,0.212322,0.616414,0.071339,0.073736,"RF",4,"a"
"19","AM",2.387903,0.474655,0.651788,0.418778,0.089797,0.103894,"RF",4,"b"
"20","AM",2.842369,0.390623,0.498144,0.351819,0.052464,0.056053,"RF",4,"c"
"21","ST",7.160668,1.619737,2.564054,0.139652,0.036821,0.040823,"RF",0,"a"
"22","ST",2.542997,0.596444,1.424724,0.393237,0.141203,0.120492,"RF",2,"a"
"23","ST",1.630212,0.182052,0.207951,0.613417,0.069396,0.077114,"RF",4,"a"
"24","ST",2.139362,0.465314,0.827047,0.467429,0.130321,0.129925,"RF",4,"b"
"25","ST",2.351182,0.305596,0.316471,0.425318,0.050457,0.06354,"RF",4,"c"
"26","TW",4.963939,0.895316,1.506255,0.201453,0.046898,0.04433,"RF",0,"a"
"27","TW",2.453054,0.55538,1.397157,0.407655,0.147929,0.119306,"RF",2,"a"
"28","TW",1.648561,0.20206,0.236797,0.60659,0.076186,0.084734,"RF",4,"a"
"29","TW",2.82067,0.841828,2.186273,0.354526,0.154803,0.15082,"RF",4,"b"
"30","TW",2.236429,0.388032,0.583203,0.447141,0.092485,0.093868,"RF",4,"c"
